date,stock_id,rank,turnover,per,yield,pbr
2015-01-05,2330,1,4459516134,15.82,2.14,3.78
2015-01-05,3481,2,3596163159,17.88,0.85,0.77
2015-01-05,3474,3,3586625885,7.56,0.0,3.48
2015-01-05,2409,4,2279454915,13.21,0.87,0.95
2015-01-05,3673,5,2233076546,,2.56,1.48
2015-01-05,2317,6,2210737580,11.08,3.44,1.5
2015-01-05,3008,7,1979137910,20.45,1.21,8.15
2015-01-05,2303,8,1755229886,22.76,3.28,0.9
2015-01-05,2408,9,1427536792,8.82,0.0,6.46
2015-01-05,1314,10,1207800377,,0.0,0.92
2015-01-05,2454,11,1148998364,16.19,3.25,3.13
2015-01-05,2498,12,1138295962,88.27,0.0,1.49
2015-01-05,2344,13,1122592165,20.09,0.0,1.12
2015-01-05,0061,14,1009315283,,,
2015-01-05,3034,15,844725986,16.97,3.41,4.09
2015-01-05,2474,16,838724113,12.84,1.96,2.25
2015-01-05,2882,17,720762769,12.47,4.31,1.47
2015-01-05,2618,18,692543088,,0.0,2.06
2015-01-05,2311,19,582181121,13.9,3.41,2.22
2015-01-05,2881,20,575835611,8.67,2.98,1.39
2015-01-05,6116,21,571476906,20.1,15.78,0.75
2015-01-05,3045,22,546514480,18.06,5.38,5.17
2015-01-05,2325,23,546182560,13.69,3.73,2.2
2015-01-05,4938,24,544412905,14.41,3.73,1.54
2015-01-05,2891,25,529709410,7.65,3.64,1.39
2015-01-05,2352,26,517125718,10.53,0.0,1.18
2015-01-05,2609,27,506277287,34.39,0.0,1.47
2015-01-05,2357,28,499972405,12.39,5.66,1.74
2015-01-05,2603,29,494854679,77.41,0.0,1.33
2015-01-05,1477,30,475950941,20.69,4.44,4.31
2015-01-05,2610,31,459923545,,0.0,1.61
2015-01-05,2412,32,459617744,18.13,4.86,2.03
2015-01-05,1303,33,448543220,14.42,2.97,1.65
2015-01-05,2002,34,423480546,21.72,3.4,1.39
2015-01-05,0050,35,417637764,,,
2015-01-05,1216,36,395523625,24.65,4.24,3.08
2015-01-05,2448,37,379269141,34.01,0.69,1.24
2015-01-05,4733,38,371118779,19.95,2.79,5.18
2015-01-05,2301,39,361252904,11.46,7.41,1.2
2015-01-05,4904,40,360775907,18.98,5.31,3.26
