stock_id,name,turnover_at_selection
2454,聯發科,39901626245
3037,欣興,36706619508
2408,南亞科,36433061345
2330,台積電,33917316870
2327,國巨*,31856140839
8046,南電,19503732175
2303,聯電,18470733693
2344,華邦電,17191041947
2308,台達電,16707356595
3231,緯創,16291830429
3017,奇鋐,15836041480
3189,景碩,15770884241
4958,臻鼎-KY,15553303956
1303,南亞,15031119549
2313,華通,12859676469
2317,鴻海,12576410974
2455,全新,12429070854
8039,台虹,12392791079
2464,盟立,11658495126
3008,大立光,11572708090
2481,強茂,11002218111
6669,緯穎,10980517460
2368,金像電,10209436370
3711,日月光投控,9245301728
3443,創意,9187836880
2383,台光電,9122954390
2301,光寶科,8524055944
2492,華新科,8064570394
3661,世芯-KY,7372893575
3006,晶豪科,7287760518
2382,廣達,7095877034
6442,光聖,7039670075
8996,高力,6933380315
6213,聯茂,6788173006
2059,川湖,6485707205
3481,群創,6346827398
2426,鼎元,6273693508
6770,力積電,5807832780
2324,仁寶,5781097796
3653,健策,5504530385
2357,華碩,5168660572
3026,禾伸堂,5091207225
6515,穎崴,4935246575
6446,藥華藥,4672817755
2345,智邦,4571878280
2409,友達,4252112854
2449,京元電子,4179234514
2603,長榮,4084716502
3167,大量,3725304965
2377,微星,3714731589
6271,同欣電,3622880650
2337,旺宏,3559413747
2395,研華,3559124419
2360,致茂,3291340550
2486,一詮,3262262979
3665,貿聯-KY,3121725115
2881,富邦金,2868790167
1326,台化,2844287406
3532,台勝科,2716271714
2376,技嘉,2688078160
3406,玉晶光,2674315650
8021,尖點,2659196942
2884,玉山金,2652165923
6531,愛普*,2651566742
6239,力成,2632483304
7769,鴻勁,2464228565
3714,富采,2325415795
2615,萬海,2269973354
6451,訊芯-KY,2266874784
3090,日電貿,2110656414
2882,國泰金,1985489661
2887,台新新光金,1984201079
2891,中信金,1980398521
2404,漢唐,1861523700
6830,汎銓,1831187872
2356,英業達,1821646579
1717,長興,1778208185
4938,和碩,1755066742
1301,台塑,1752844824
6672,騰輝電子-KY,1707017382
2609,陽明,1704482035
6139,亞翔,1700124816
2049,上銀,1640396315
2886,兆豐金,1588968092
2351,順德,1581202815
2883,凱基金,1560014425
8150,南茂,1530039784
7788,松川精密,1496116629
3605,宏致,1491000022
3583,辛耘,1444952710
7711,永擎,1431399909
3036,文曄,1414484348
2885,元大金,1412153015
2421,建準,1395253384
2451,創見,1367541515
2353,宏碁,1305114004
1519,華城,1261309624
2489,瑞軒,1248541314
6257,矽格,1228308784
6196,帆宣,1220479257
6805,富世達,1219816205
1802,台玻,1207838626
6505,台塑化,1152578269
2388,威盛,1151365614
3019,亞光,1135944592
2892,第一金,1128178723
2834,臺企銀,1109422794
3042,晶技,1108911069
3044,健鼎,1096677267
4977,眾達-KY,1095369476
1560,中砂,1094320259
1597,直得,1078318662
3034,聯詠,1072929998
2412,中華電,1016319907
2379,瑞昱,1003024735
3706,神達,977687809
6415,矽力*-KY,971220659
6197,佳必琪,970621094
3450,聯鈞,934142969
8210,勤誠,897560390
